2026-04-14 12:54:04 | INFO | Resources cleaned up successfully
2026-04-14 12:54:18 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 12:54:18 | INFO | Server configuration complete.
2026-04-14 12:54:18 | INFO | Starting Uvicorn server...
2026-04-14 12:54:18 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 12:54:26 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 12:54:26 | INFO | Inference worker thread started
2026-04-14 12:54:26 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 12:54:26 | INFO | MLX handler initialized successfully
2026-04-14 12:57:06 | INFO | Shutting down application
2026-04-14 12:57:06 | INFO | Cleaning up resources
2026-04-14 12:57:06 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 12:57:06 | INFO | Inference worker thread stopped
2026-04-14 12:57:07 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 12:57:07 | INFO | Resources cleaned up successfully
2026-04-14 12:57:15 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 12:57:15 | INFO | Server configuration complete.
2026-04-14 12:57:15 | INFO | Starting Uvicorn server...
2026-04-14 12:57:15 | INFO | Initializing MLX handler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 12:57:20 | INFO | Initialized MLXHandler with model path: /Users/juanjosearevalocamargo/Desktop/models/gemma4-e4b
2026-04-14 12:57:20 | INFO | Inference worker thread started
2026-04-14 12:57:20 | INFO | Initialized MLXVLMHandler and started inference worker
2026-04-14 12:57:20 | INFO | MLX handler initialized successfully
2026-04-14 12:59:50 | INFO | Shutting down application
2026-04-14 12:59:50 | INFO | Cleaning up resources
2026-04-14 12:59:50 | INFO | Cleaning up MLXVLMHandler resources
2026-04-14 12:59:50 | INFO | Inference worker thread stopped
2026-04-14 12:59:50 | INFO | MLXVLMHandler cleanup completed successfully
2026-04-14 12:59:50 | INFO | Resources cleaned up successfully
2026-04-14 12:59:58 | INFO | Starting server on 0.0.0.0:8081
2026-04-14 12:59:58 | INFO | Server configuration complete.
